"host_state";"host";"host_icons";"num_services_ok";"num_services_warn";"num_services_unknown";"num_services_crit";"num_services_pending";"sitealias"
"UP";"esw-dent";"NOT_CSV_EXPORTABLE";"1";"0";"0";"0";"0";"PSU HDY"
"UP";"esw-diis";"NOT_CSV_EXPORTABLE";"32";"0";"0";"1";"0";"PSU HDY"
"UP";"Esw-Dorm";"NOT_CSV_EXPORTABLE";"16";"5";"0";"1";"0";"PSU HDY"
"UP";"esw-eco";"NOT_CSV_EXPORTABLE";"1";"0";"0";"0";"0";"PSU HDY"
"UP";"esw-eng";"NOT_CSV_EXPORTABLE";"11";"0";"0";"0";"0";"PSU HDY"
"UP";"esw-env";"NOT_CSV_EXPORTABLE";"18";"0";"0";"0";"0";"PSU HDY"
"UP";"esw-fms";"NOT_CSV_EXPORTABLE";"24";"0";"0";"1";"0";"PSU HDY"
"UP";"esw-icc";"NOT_CSV_EXPORTABLE";"16";"0";"0";"1";"0";"PSU HDY"
"UP";"esw-iloa8";"NOT_CSV_EXPORTABLE";"1";"1";"0";"1";"0";"PSU HDY"
"UP";"esw-iloa9";"NOT_CSV_EXPORTABLE";"1";"1";"0";"1";"0";"PSU HDY"
"UP";"esw-law";"NOT_CSV_EXPORTABLE";"22";"0";"0";"0";"0";"PSU HDY"
"UP";"esw-lcb";"NOT_CSV_EXPORTABLE";"7";"1";"0";"0";"0";"PSU HDY"
"UP";"esw-lib";"NOT_CSV_EXPORTABLE";"16";"0";"0";"0";"0";"PSU HDY"
"UP";"esw-lrc";"NOT_CSV_EXPORTABLE";"23";"0";"0";"0";"0";"PSU HDY"
"UP";"esw-med";"NOT_CSV_EXPORTABLE";"1";"0";"0";"0";"0";"PSU HDY"
"UP";"esw-mix";"NOT_CSV_EXPORTABLE";"23";"0";"0";"0";"0";"PSU HDY"
"UP";"esw-mix3";"NOT_CSV_EXPORTABLE";"15";"0";"0";"0";"0";"PSU HDY"
"UP";"esw-ns";"NOT_CSV_EXPORTABLE";"1";"0";"0";"0";"0";"PSU HDY"
"UP";"esw-ntr";"NOT_CSV_EXPORTABLE";"20";"0";"0";"0";"0";"PSU HDY"
"UP";"esw-nur";"NOT_CSV_EXPORTABLE";"1";"0";"0";"0";"0";"PSU HDY"
"UP";"esw-peace";"NOT_CSV_EXPORTABLE";"12";"0";"0";"0";"0";"PSU HDY"
"UP";"esw-pso";"NOT_CSV_EXPORTABLE";"28";"0";"0";"0";"0";"PSU HDY"
"UP";"esw-rx";"NOT_CSV_EXPORTABLE";"1";"0";"0";"0";"0";"PSU HDY"
"UP";"esw-sci";"NOT_CSV_EXPORTABLE";"1";"0";"0";"0";"0";"PSU HDY"
"UP";"esw-scipark";"NOT_CSV_EXPORTABLE";"1";"0";"0";"0";"0";"PSU HDY"
"UP";"ESW-SERVER-25-DIIS1";"NOT_CSV_EXPORTABLE";"39";"0";"0";"0";"0";"PSU HDY"
"UP";"ESW-SERVER-25-DIIS2";"NOT_CSV_EXPORTABLE";"40";"0";"0";"0";"0";"PSU HDY"
"UP";"ESW-SERVER-25-LRC1";"NOT_CSV_EXPORTABLE";"24";"0";"0";"0";"0";"PSU HDY"
"UP";"ESW-SERVER-25-LRC2";"NOT_CSV_EXPORTABLE";"24";"0";"0";"0";"0";"PSU HDY"
"UP";"esw-sport";"NOT_CSV_EXPORTABLE";"1";"1";"0";"1";"0";"PSU HDY"
"UP";"esw-svr1_HPE5900";"NOT_CSV_EXPORTABLE";"1";"0";"0";"0";"0";"PSU HDY"
"UP";"esw-svr2_HPE5900";"NOT_CSV_EXPORTABLE";"1";"0";"0";"0";"0";"PSU HDY"
"UP";"esw-svr40G";"NOT_CSV_EXPORTABLE";"24";"0";"0";"0";"0";"PSU HDY"
"UP";"esw-vet";"NOT_CSV_EXPORTABLE";"1";"0";"0";"0";"0";"PSU HDY"
"UP";"esw-vet-TY";"NOT_CSV_EXPORTABLE";"1";"0";"0";"0";"0";"PSU HDY"
"UP";"esw-voip";"NOT_CSV_EXPORTABLE";"44";"0";"0";"0";"0";"PSU HDY"
"UP";"etesting.psu.ac.th";"NOT_CSV_EXPORTABLE";"3";"0";"0";"0";"0";"PSU HDY"
"UP";"Gemini-01";"NOT_CSV_EXPORTABLE";"1";"0";"0";"0";"0";"PSU HDY"
"UP";"Gemini-02";"NOT_CSV_EXPORTABLE";"1";"0";"0";"0";"0";"PSU HDY"
"UP";"Gemini-03";"NOT_CSV_EXPORTABLE";"1";"0";"0";"0";"0";"PSU HDY"
"UP";"hades";"NOT_CSV_EXPORTABLE";"67";"1";"0";"0";"0";"PSU HDY"
"UP";"Helios";"NOT_CSV_EXPORTABLE";"1";"0";"0";"0";"0";"PSU HDY"
"UP";"hfw1.psu.ac.th";"NOT_CSV_EXPORTABLE";"1";"0";"0";"0";"0";"PSU HDY"
"UP";"hfw2.psu.ac.th";"NOT_CSV_EXPORTABLE";"1";"0";"0";"0";"0";"PSU HDY"
"UP";"hrmis.psu.ac.th";"NOT_CSV_EXPORTABLE";"3";"0";"0";"0";"0";"PSU HDY"
"UP";"Infoblox-DHCP";"NOT_CSV_EXPORTABLE";"1";"0";"0";"0";"0";"PSU HDY"
"UP";"Lib301";"NOT_CSV_EXPORTABLE";"13";"0";"0";"2";"0";"PSU HDY"
"UP";"Lib302";"NOT_CSV_EXPORTABLE";"1";"1";"0";"1";"0";"PSU HDY"
"UP";"Lib303p";"NOT_CSV_EXPORTABLE";"1";"1";"0";"1";"0";"PSU HDY"
"UP";"Lib304";"NOT_CSV_EXPORTABLE";"1";"1";"0";"1";"0";"PSU HDY"
"UP";"Lib305";"NOT_CSV_EXPORTABLE";"12";"3";"0";"3";"0";"PSU HDY"
"UP";"Lib307";"NOT_CSV_EXPORTABLE";"1";"1";"0";"1";"0";"PSU HDY"
"UP";"Lib308";"NOT_CSV_EXPORTABLE";"1";"1";"0";"1";"0";"PSU HDY"
